City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Ziyang,CN,29.2497,117.8547,53.44,97,87,0.49,overcast clouds
321,Saddiqabad,PK,28.3062,70.1307,100.98,8,92,13.18,overcast clouds
322,Sørland,NO,67.667,12.6934,42.66,91,100,29.57,light rain
323,Olafsvik,IS,64.8945,-23.7142,39.15,58,76,16.73,broken clouds
324,Sunrise Manor,US,36.2111,-115.0731,78.73,17,0,13.0,clear sky
325,Marrakesh,MA,31.6315,-8.0083,87.87,19,0,8.05,clear sky
326,Yangi Marg`Ilon,UZ,40.4272,71.7189,75.92,35,99,9.22,overcast clouds
327,Bud,US,39.447,-86.1758,67.46,61,28,17.69,scattered clouds
328,Acajutla,SV,13.5928,-89.8275,86.67,60,100,5.53,overcast clouds
329,Gonder,ET,12.6,37.4667,75.16,22,85,4.47,overcast clouds
330,Antofagasta,CL,-23.65,-70.4,69.22,56,20,8.01,few clouds
331,Santa Cruz De La Sierra,BO,-17.8,-63.1667,87.46,38,0,14.74,clear sky
332,Saint-François,FR,46.4154,3.9054,65.64,37,0,3.44,clear sky
333,Barra Patuca,HN,15.8,-84.2833,83.21,74,100,8.97,overcast clouds
334,Buin,CL,-33.7333,-70.75,71.87,36,0,4.7,clear sky
335,Polokwane,ZA,-23.9045,29.4688,62.78,53,76,10.36,broken clouds
336,Soddy-Daisy,US,35.2359,-85.1908,75.11,73,100,7.67,overcast clouds
337,Caravelas,BR,-17.7125,-39.2481,83.14,58,0,8.21,clear sky
338,Escanaba,US,45.7453,-87.0646,47.52,100,100,10.36,overcast clouds
339,Benjamin Constant,BR,-4.3831,-70.0311,82.45,78,40,3.44,scattered clouds
340,Dīglūr,IN,18.55,77.6,98.49,14,68,5.3,broken clouds
341,Lagoa,PT,39.05,-27.9833,61.97,76,24,1.74,few clouds
342,Zyryanovsk,KZ,49.7386,84.2719,57.42,46,66,3.98,broken clouds
